"folio","region","a2","f4","edad","d31","d34","factor","sexo","ingreso"
"59-83-79-25","5",2,200000,40,2,1,8644.7666015625,"Mujer",200000
"57-36-32-44","5",2,NA,56,1,1,10322.1943359375,"Mujer",401500
"99-44-83-87","5",2,500000,60,1,1,8508.01953125,"Mujer",500000
"48-10-12-07","5",2,NA,39,1,1,9894.8701171875,"Mujer",401500
"20-84-76-62","5",2,NA,22,1,1,24791.31640625,"Mujer",401500
"26-98-40-17","5",2,NA,53,2,3,12147.28515625,"Mujer",401500
"15-59-13-25","5",2,250000,35,1,1,37558.60546875,"Mujer",250000
"80-22-49-51","5",2,30000,36,1,2,41107.83984375,"Mujer",30000
"87-66-05-51","5",2,300000,58,1,1,60044.92578125,"Mujer",300000
"92-25-22-69","5",2,400000,42,1,1,7593.5,"Mujer",400000
"09-98-85-66","5",2,230000,55,1,1,16026.1611328125,"Mujer",230000
"78-03-39-30","5",2,700000,33,1,1,5924.70458984375,"Mujer",700000
"97-66-23-60","5",2,700000,32,1,1,4649.01806640625,"Mujer",700000
"03-83-60-70","5",2,400000,59,1,1,4043.34130859375,"Mujer",400000
"16-52-40-96","5",2,NA,72,1,1,3326.85424804688,"Mujer",401500
"71-74-44-11","5",2,-999,35,1,1,10054.21875,"Mujer",401500
"64-59-35-12","5",2,NA,40,1,1,6723.1337890625,"Mujer",401500
"62-93-22-42","5",2,NA,59,1,1,9752.7197265625,"Mujer",401500
"07-86-82-18","6",2,NA,22,1,1,60463.13671875,"Mujer",401500
"68-65-22-58","6",2,NA,37,1,1,8626.869140625,"Mujer",401500
"85-18-67-52","6",2,NA,62,1,1,10086.7470703125,"Mujer",401500
"84-64-17-47","6",2,430000,49,1,1,12451.3095703125,"Mujer",430000
"07-59-04-23","6",2,NA,64,1,1,28223.73046875,"Mujer",401500
"53-66-51-85","6",2,NA,44,1,1,6250.92138671875,"Mujer",401500
"86-93-31-00","6",2,NA,78,1,1,3441.67016601562,"Mujer",401500
"94-29-97-78","6",2,NA,37,1,1,8183.9501953125,"Mujer",401500
"96-53-35-33","6",2,NA,69,1,1,14115.447265625,"Mujer",401500
"62-15-78-55","6",2,NA,46,1,1,9542.1298828125,"Mujer",401500
"75-42-31-17","6",2,NA,50,1,1,25050.568359375,"Mujer",401500
"25-20-85-80","6",2,NA,18,1,1,35682.07421875,"Mujer",401500
"97-31-87-50","6",2,-999,44,1,2,13672.4091796875,"Mujer",401500
"68-90-91-34","6",2,900000,33,1,1,4562.4619140625,"Mujer",900000
"60-42-12-86","6",2,NA,67,1,1,2429.814453125,"Mujer",401500
"17-87-22-93","7",2,NA,70,1,1,6349.25,"Mujer",401500
"73-66-57-61","7",2,NA,46,1,1,4901.23681640625,"Mujer",401500
"93-85-71-79","7",2,NA,50,1,1,5415.43212890625,"Mujer",401500
"73-38-66-98","7",2,NA,72,3,3,5086.3642578125,"Mujer",401500
"79-20-15-12","7",2,300000,37,1,1,6569.01318359375,"Mujer",300000
"85-30-58-08","7",2,130000,70,1,1,1140.46215820312,"Mujer",130000
"01-97-11-09","7",2,NA,57,1,1,5368.591796875,"Mujer",401500
"75-16-33-18","7",2,0,31,1,1,13724.5859375,"Mujer",0
"22-32-48-32","7",2,301000,60,1,1,2140.59838867188,"Mujer",301000
"84-65-02-28","7",2,NA,42,1,1,2723.12622070312,"Mujer",401500
"54-55-18-82","7",2,NA,42,1,1,17540.919921875,"Mujer",401500
"06-65-04-00","8",2,NA,40,1,1,3520.77563476562,"Mujer",401500
"63-52-29-95","8",2,500000,30,1,1,12316.337890625,"Mujer",500000
"40-12-16-37","8",2,NA,62,1,1,1547.15563964844,"Mujer",401500
"91-59-05-41","8",2,NA,18,1,1,11160.1240234375,"Mujer",401500
"77-01-11-13","8",2,500000,44,1,3,6124.505859375,"Mujer",500000
"64-52-66-45","8",2,220000,39,1,1,6670.2490234375,"Mujer",220000
"87-89-77-69","8",2,NA,60,1,1,11898.0810546875,"Mujer",401500
"08-22-14-50","8",2,NA,71,2,2,1947.05773925781,"Mujer",401500
"50-27-92-98","8",2,300000,35,1,1,10628.8662109375,"Mujer",300000
"54-09-44-81","8",2,-999,44,1,2,12230.37890625,"Mujer",401500
"02-72-10-39","8",2,NA,68,1,1,4425.07421875,"Mujer",401500
"13-48-37-87","8",2,360000,57,1,1,20951.28515625,"Mujer",360000
"21-18-26-63","8",2,300000,47,1,1,3720.65161132812,"Mujer",300000
"82-93-26-96","8",2,NA,22,1,2,25382.0703125,"Mujer",401500
"16-87-40-16","8",2,NA,61,1,1,6125.24072265625,"Mujer",401500
"62-81-91-04","8",2,301000,50,1,2,5548.6298828125,"Mujer",301000
"29-39-13-21","8",2,NA,20,1,1,9735.9228515625,"Mujer",401500
"07-23-52-32","8",2,240000,27,1,2,6441.71240234375,"Mujer",240000
"02-63-95-52","8",2,1300000,40,1,1,5490.05859375,"Mujer",1300000
"81-62-11-98","8",2,500000,56,1,1,24770.5625,"Mujer",500000
"11-44-99-45","8",2,NA,66,1,1,6854.2509765625,"Mujer",401500
"96-88-76-17","8",2,NA,64,1,1,5593.90966796875,"Mujer",401500
"51-26-83-11","8",2,1000000,65,1,2,3286.78491210938,"Mujer",1000000
"27-15-13-57","8",2,NA,75,1,1,5872.3876953125,"Mujer",401500
"88-09-05-16","8",2,300000,44,1,1,3326.97192382812,"Mujer",300000
"03-47-61-91","8",2,NA,35,2,1,15113.0654296875,"Mujer",401500
"80-06-89-13","8",2,NA,72,1,1,1776.95300292969,"Mujer",401500
"97-47-36-91","8",2,NA,49,1,1,7181.2919921875,"Mujer",401500
"13-67-60-45","8",2,NA,24,1,1,12957.5048828125,"Mujer",401500
"90-52-63-78","8",2,243000,62,1,1,8958.173828125,"Mujer",243000
"91-60-95-18","8",2,180000,62,1,1,4475.96923828125,"Mujer",180000
"04-34-18-68","8",2,NA,39,1,1,7719.84375,"Mujer",401500
"98-57-82-93","8",2,NA,42,1,1,10450.4404296875,"Mujer",401500
"46-26-11-20","8",2,1100000,67,1,1,6523.4638671875,"Mujer",1100000
"73-64-04-55","8",2,NA,75,1,1,5387.87109375,"Mujer",401500
"34-13-89-71","8",2,NA,47,1,1,2775.96020507812,"Mujer",401500
"68-78-17-71","8",2,1400000,51,1,3,25940.888671875,"Mujer",1400000
"38-80-11-90","8",2,NA,71,1,1,5432.873046875,"Mujer",401500
"21-60-05-52","8",2,210000,31,1,1,12297.3369140625,"Mujer",210000
"76-12-98-93","8",2,NA,48,1,1,3696.34033203125,"Mujer",401500
"73-92-06-77","8",2,NA,34,1,1,3609.5244140625,"Mujer",401500
